ID,Header,Requirement,Active Subject,Action,When,Value
578,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,"(i) Where the pipeline segment has had a class location change in accordance with § 192.611, and records documenting diameter, wall thickness, seam type, grade (minimum yield strength and ultimate tensile strength), and pressure tests are not documented in traceable, verifiable, and complete records, the operator must reduce the pipeline segment MAOP as follows:",the pipeline segment,"must reduce Where has a class location change in accordance with §   192.611 in accordance with §   192.611 accordance with §   192.611 with §   192.611 §   192.611 diameter are ( i ) Where the pipeline segment has had a class location change in accordance with §   192.611 , and records documenting diameter , wall thickness , seam type , grade ( minimum yield strength and ultimate tensile strength ) , and pressure tests are not documented in traceable , verifiable , and complete records in traceable , verifiable , and complete records traceable , verifiable , and complete records must the pipeline segment MAOP as follows",always,['192.611']
579,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,"(iii) If an operator elects to use Method 2, but desires to use a less conservative pressure reduction factor or longer look-back period, the operator must notify PHMSA in accordance with § 192.18 no later than 7 calendar days after establishing the reduced MAOP.",an operator,must notify If an operator elects to use Method 2 to to use Method 2 Method 2 to less a less conservative pressure reduction factor or longer look - back period must PHMSA in accordance with §   192.18 accordance with §   192.18 with §   192.18 §   192.18 no later after establishing the reduced MAOP the reduced MAOP,If,"['2', '192.18 no', '7 calendar']"
580,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,The notification must include the following details:,The notification,must include must the following details,always,
581,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,The highest actual sustained pressure must have been reached for a minimum cumulative duration of 8 hours during one continuous 30-day period.,Not found,must reached must have been for a minimum cumulative duration of 8 hours during one continuous 30 - day period a minimum cumulative duration of 8 hours during one continuous 30 - day period of 8 hours 8 hours during one continuous 30 - day period one continuous 30 - day period,during one continuous 30 - day period,"['8 hours', '30']"
582,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,The reduced MAOP must account for differences between discharge and upstream pressure on the pipeline by use of either the lowest value for the entire pipeline segment or the operating pressure gradient (,The reduced MAOP,must account must for differences between discharge and upstream pressure on the pipeline by use of either the lowest value for the entire pipeline segment or the operating pressure gradient differences between discharge and upstream pressure on the pipeline by use of either the lowest value for the entire pipeline segment or the operating pressure gradient between discharge and upstream pressure on the pipeline discharge and upstream pressure on the pipeline on the pipeline the pipeline by use of either the lowest value for the entire pipeline segment or the operating pressure gradient use of either the lowest value for the entire pipeline segment or the operating pressure gradient of either the lowest value for the entire pipeline segment or the operating pressure gradient either the lowest value for the entire pipeline segment or the operating pressure gradient for the entire pipeline segment or the operating pressure gradient the entire pipeline segment or the operating pressure gradient,always,
583,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,"(i) The technology or technologies to be used for tests, examinations, and assessments; the method for establishing material properties; and analytical techniques with similar analysis from prior tool runs done to ensure the results are consistent with the required corresponding hydrostatic test pressure for the pipeline segment being evaluated;",the results,,always,
584,Maximum allowable operating pressure reconfirmation: Onshore steel transmission pipelines.,"(v) If any pipeline segment contains cracking or may be susceptible to cracking or crack-like defects found through or identified by assessments, leaks, failures, manufacturing vintage histories, or any other available information about the pipeline, the operator must estimate the remaining life of the pipeline in accordance with paragraph § 192.712;",any pipeline segment,"must estimate If any pipeline segment contains cracking or may be susceptible to cracking or crack - like defects found through or identified by assessments , leaks , failures , manufacturing vintage histories , or any other available information about the pipeline cracking may susceptible to cracking or crack - like defects found through or identified by assessments , leaks , failures , manufacturing vintage histories , or any other available information about the pipeline to cracking or crack - like defects found through or identified by assessments , leaks , failures , manufacturing vintage histories , or any other available information about the pipeline cracking or crack - like defects found through or identified by assessments , leaks , failures , manufacturing vintage histories , or any other available information about the pipeline through assessments , leaks , failures , manufacturing vintage histories , or any other available information about the pipeline vintage histories about the pipeline the pipeline must the remaining life of the pipeline of the pipeline the pipeline in accordance with paragraph §   192.712 accordance with paragraph §   192.712 with paragraph §   192.712 paragraph §   192.712",If,['192.712']
585,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"When an operator conducts an MAOP reconfirmation in accordance with § 192.624(c)(3) “Method 3” using an ECA to establish the material strength and MAOP of the pipeline segment, the ECA must comply with the requirements of this section.",an operator,must comply When When an operator conducts an MAOP reconfirmation in accordance with §   192.624(c)(3 ) “ Method 3 ” using an ECA to establish the material strength and MAOP of the pipeline segment an MAOP reconfirmation in accordance with §   192.624(c)(3 accordance with §   192.624(c)(3 with §   192.624(c)(3 §   192.624(c)(3 “ Method 3 ” using an ECA to establish the material strength and MAOP of the pipeline segment an ECA to to establish the material strength and MAOP of the pipeline segment the material strength and MAOP of the pipeline segment of the pipeline segment the pipeline segment must with the requirements of this section the requirements of this section of this section this section,When,"['192.624', '3', '3']"
586,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"The ECA must assess: Threats; loadings and operational circumstances relevant to those threats, including along the pipeline right-of way; outcomes of the threat assessment; relevant mechanical and fracture properties; in-service degradation or failure processes; and initial and final defect size relevance.",The ECA,"must assess must Threats ; loadings and operational circumstances relevant to those threats , including along the pipeline right - of way ; outcomes of the threat assessment ; relevant mechanical and fracture properties ; in - service degradation or failure processes ; and initial and final defect size relevance to those threats , including along the pipeline right - of way those threats , including along the pipeline right - of way including along the pipeline right - of way along the pipeline the pipeline of way way of the threat assessment the threat assessment service",always,
587,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,The ECA must quantify the interacting effects of threats on any defect in the pipeline.,The ECA,must quantify must the interacting effects of threats of threats threats on any defect in the pipeline any defect in the pipeline in the pipeline the pipeline,always,
588,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(2) The ECA must analyze and determine the predicted failure pressure for the defect being assessed using procedures that implement the appropriate failure criteria and justification as follows:,The ECA,must analyze must the predicted failure pressure for the defect being assessed using procedures that implement the appropriate failure criteria and justification for the defect the defect being using procedures that implement the appropriate failure criteria and justification procedures that implement the appropriate failure criteria and justification the appropriate failure criteria and justification as follows,always,['2']
589,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(i) The ECA must analyze any cracks or crack-like defects remaining in the pipe, or that could remain in the pipe, to determine the predicted failure pressure of each defect in accordance with § 192.712.",The ECA,must analyze must any cracks or crack - like defects remaining in the pipe in the pipe the pipe could in the pipe the pipe to to determine the predicted failure pressure of each defect in accordance with §   192.712 the predicted failure pressure of each defect of each defect each defect in accordance with §   192.712 accordance with §   192.712 with §   192.712 §   192.712,always,['192.712']
590,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(ii) The ECA must analyze any metal loss defects not associated with a dent, including corrosion, gouges, scrapes or other metal loss defects that could remain in the pipe, to determine the predicted failure pressure.",ii,"must analyze must any metal loss defects not associated with a dent , including corrosion , gouges , scrapes or other metal loss defects that could remain in the pipe , with a dent , including corrosion , gouges , scrapes or other metal loss defects that could remain in the pipe , a dent , including corrosion , gouges , scrapes or other metal loss defects that could remain in the pipe , including corrosion , gouges , scrapes or other metal loss defects that could remain in the pipe corrosion , gouges , scrapes or other metal loss defects that could remain in the pipe could in the pipe the pipe to to determine the predicted failure pressure the predicted failure pressure",always,
591,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(iii) When determining the predicted failure pressure for gouges, scrapes, selective seam weld corrosion, crack-related defects, or any defect within a dent, appropriate failure criteria and justification of the criteria must be used and documented.",Not found,"must used When When determining the predicted failure pressure for gouges , scrapes , selective seam weld corrosion , crack - related defects , or the predicted failure pressure for gouges , scrapes , selective seam weld corrosion , crack - related defects , or for gouges , scrapes , selective seam weld corrosion , crack - related defects , or gouges , scrapes , selective seam weld corrosion , crack - related defects , or within a dent , appropriate failure criteria and justification of the criteria a dent , appropriate failure criteria and justification of the criteria of the criteria the criteria must be ( iii )",When,
592,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(iv) If SMYS or actual material yield and ultimate tensile strength is not known or not documented by traceable, verifiable, and complete records, then the operator must assume 30,000 p.s.i. or determine the material properties using § 192.607.",the operator,"must assume is ) If SMYS or actual material yield and ultimate tensile strength is not known or not documented by traceable , verifiable , and complete records traceable , verifiable , and complete records then must 30,000 p.s.i the material properties using §   192.607 §   192.607",If,"['30', '000 p', '192.607']"
593,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(3) The ECA must analyze the interaction of defects to conservatively determine the most limiting predicted failure pressure.,The ECA,must analyze must the interaction of defects of defects defects to conservatively to conservatively determine the most limiting predicted failure pressure most the most limiting predicted failure pressure,always,['3']
594,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,The ECA must document all evaluations and any assumptions used in the ECA process.,The ECA,must document must all evaluations and any assumptions used in the ECA process in the ECA process the ECA process,always,
595,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(4) The MAOP must be established at the lowest predicted failure pressure for any known or postulated defect, or interacting defects, remaining in the pipe divided by the greater of 1.25 or the applicable factor listed in § 192.619(a)(2)(ii).",Not found,"must established must be at the lowest predicted failure pressure for any known or postulated defect , or interacting defects lowest the lowest predicted failure pressure for any known or postulated defect , or interacting defects for any known or postulated defect , or interacting defects any known or postulated defect , or interacting defects remaining in the pipe divided by the greater of 1.25 or the applicable factor listed in §   192.619(a)(2)(ii ) in the pipe divided by the greater of 1.25 or the applicable factor listed in §   192.619(a)(2)(ii ) the pipe divided by the greater of 1.25 or the applicable factor listed in §   192.619(a)(2)(ii ) the greater of 1.25 or the applicable factor listed in §   192.619(a)(2)(ii ) of 1.25 1.25 in §   192.619(a)(2)(ii §   192.619(a)(2)(ii",always,"['4', '1.25 or', '192.619', '2']"
596,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(1) An operator may use a previous pressure test that complied with subpart J to determine the defects remaining in the pipe if records for a pressure test meeting the requirements of subpart J of this part exist for the pipeline segment.,An operator,may use may a previous pressure test that complied with subpart J to determine the defects remaining in the pipe if records for a pressure test meeting the requirements of subpart J of this part exist for the pipeline segment with subpart J subpart J to to determine the defects remaining in the pipe if records for a pressure test meeting the requirements of subpart J of this part exist for the pipeline segment the defects remaining in the pipe if records for a pressure test meeting the requirements of subpart J of this part in the pipe the pipe for a pressure test a pressure test if records for a pressure test meeting the requirements of subpart J of this part the requirements of subpart J of this part of subpart J of this part subpart J of this part of this part this part exist for the pipeline segment for the pipeline segment the pipeline segment,if,['1']
597,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,The operator must calculate the largest defect that could have survived the pressure test.,The operator,must calculate must the largest defect that could have survived the pressure test could have the pressure test,always,
598,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,The operator must predict how much the defects have grown since the date of the pressure test in,The operator,must predict must how how much have how much the defects have grown since the date of the pressure test in since the date of the pressure test the date of the pressure test of the pressure test the pressure test in,always,
599,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(2) Operators may use an inline inspection program in accordance with paragraph (c) of this section.,Operators,may use may an inline inspection program in accordance with paragraph ( c ) of this section accordance with paragraph ( c ) of this section with paragraph ( c ) of this section paragraph ( c ) of this section of this section this section,always,['2']
600,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(3) Operators may use “other technology” if it is validated by a subject matter expert to produce an equivalent understanding of the condition of the pipe equal to or greater than pressure testing or an inline inspection program.,Operators,may use may other technology ” is if it is validated by a subject matter expert to produce an equivalent understanding of the condition of the pipe equal to or greater than pressure testing or an inline inspection program a subject matter expert to to produce an equivalent understanding of the condition of the pipe equal to or greater than pressure testing or an inline inspection program an equivalent understanding of the condition of the pipe equal to or greater than pressure testing or an inline inspection program of the condition of the pipe equal to or greater than pressure testing or an inline inspection program the condition of the pipe equal to or greater than pressure testing or an inline inspection program of the pipe equal to or greater than pressure testing or an inline inspection program the pipe equal to or greater than pressure testing or an inline inspection program to than pressure testing or an inline inspection program pressure testing or an inline inspection program,if,['3']
601,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"If an operator elects to use “other technology” in the ECA, it must notify PHMSA in advance of using the other technology in accordance with § 192.18.",an operator,must notify If an operator elects to use “ other technology ” in the ECA to to use “ other technology ” in the ECA “ other technology ” in the ECA the ECA must PHMSA in advance of using the other technology in accordance with §   192.18 advance of using the other technology in accordance with §   192.18 of using the other technology in accordance with §   192.18 the other technology in accordance with §   192.18 accordance with §   192.18 with §   192.18 §   192.18,If,['192.18']
602,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,The “other technology” notification must have:,The other notification,must have must,always,
603,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(1) If a pipeline has segments that might be susceptible to hard spots based on assessment, leak, failure, manufacturing vintage history, or other information, then the ILI program must include a tool that can detect hard spots.",a pipeline,"can include If a pipeline has segments that might be susceptible to hard spots based on assessment , leak , failure , manufacturing vintage history , or other information segments that might be susceptible to hard spots based on assessment , leak , failure , manufacturing vintage history , or other information might susceptible to hard spots based on assessment , leak , failure , manufacturing vintage history , or other information to hard spots based on assessment , leak , failure , manufacturing vintage history , or other information hard spots based on assessment , leak , failure , manufacturing vintage history , or other information on assessment , leak , failure , assessment , leak , failure , vintage history , or other information then must a tool that can detect hard spots can hard spots",If,['1']
604,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(2) If the pipeline has had a reportable incident, as defined in § 191.3, attributed to a girth weld failure since its most recent pressure test, then the ILI program must include a tool that can detect girth weld defects unless the ECA analysis performed in accordance with this section includes an engineering evaluation program to analyze and account for the susceptibility of girth weld failure due to lateral stresses.",the pipeline,"can include has If the pipeline has had a reportable incident , as defined in §   191.3 , a reportable incident as defined in §   191.3 in §   191.3 §   191.3 ( 2 ) If the pipeline has had a reportable incident , as defined in §   191.3 , attributed to a girth weld failure since its most recent pressure test to a girth weld failure a girth weld failure since its most recent pressure test most its most recent pressure test then must a tool that can detect girth weld defects unless the ECA analysis performed in accordance with this section includes an engineering evaluation program to analyze and account for the susceptibility of girth weld failure due to lateral stresses can girth weld defects in accordance with this section accordance with this section with this section this section unless the ECA analysis performed in accordance with this section includes an engineering evaluation program to analyze and account for the susceptibility of girth weld failure due to lateral stresses an engineering evaluation program to analyze and account for the susceptibility of girth weld failure due to lateral stresses to for the susceptibility of girth weld failure the susceptibility of girth weld failure of girth weld failure weld failure due to lateral stresses lateral stresses",If,"['2', '191.3']"
605,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(3) Inline inspection must be performed in accordance with § 192.493.,Not found,must performed must be in accordance with §   192.493 accordance with §   192.493 with §   192.493 §   192.493,always,"['3', '192.493']"
606,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(4) An operator must use unity plots or equivalent methodologies to validate the performance of the ILI tools in identifying and sizing actionable manufacturing and construction related anomalies.,An operator,must use must unity plots or equivalent methodologies to to validate the performance of the ILI tools in identifying and sizing actionable manufacturing and construction related anomalies the performance of the ILI tools in identifying and sizing actionable manufacturing and construction related anomalies of the ILI tools the ILI tools in identifying and sizing actionable manufacturing and construction related anomalies actionable manufacturing and construction related anomalies,always,['4']
607,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,Enough data points must be used to validate tool performance at the same or better statistical confidence level provided in the tool specifications.,Not found,must used must be to to validate tool performance at the same or better statistical confidence level provided in the tool specifications tool performance at the same or better statistical confidence level provided in the tool specifications the same or better statistical confidence level provided in the tool specifications in the tool specifications the tool specifications,always,
608,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"The operator must have a process for identifying defects outside the tool performance specifications and following up with the ILI vendor to conduct additional in-field examinations, reanalyze ILI data, or both.",The operator,"must have must a process for identifying defects outside the tool performance specifications and following up with the ILI vendor to conduct additional in - field examinations for identifying defects outside the tool performance specifications and following up with the ILI vendor to conduct additional in - field examinations defects outside the tool performance specifications outside the tool performance specifications the tool performance specifications with the ILI vendor the ILI vendor to to conduct additional in - field examinations field additional in - field examinations ILI data , or both",always,
609,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,"(5) Interpretation and evaluation of assessment results must meet the requirements of §§ 192.710, 192.713, and subpart O of this part, and must conservatively account for the accuracy and reliability of ILI, in-the-ditch examination methods and tools, and any other assessment and examination results used to determine the actual sizes of cracks, metal loss, deformation and other defect dimensions by applying the most conservative limit of the tool tolerance specification.",Interpretation assessment,"must meet of assessment results assessment results must the requirements of § §   192.710 , 192.713 of § §   192.710 , 192.713 § §   192.710 , 192.713 of this part this part must conservatively for the accuracy and reliability of ILI the accuracy and reliability of ILI of ILI ILI the - ditch in - the - ditch examination methods and tools , and any other assessment and examination results used to determine the actual sizes of cracks , metal loss , deformation and other defect dimensions by applying the most conservative limit of the tool tolerance specification to to determine the actual sizes of cracks , metal loss , deformation and other defect dimensions by applying the most conservative limit of the tool tolerance specification the actual sizes of cracks , metal loss , deformation and other defect dimensions of cracks , metal loss , deformation and other defect dimensions cracks , metal loss , deformation and other defect dimensions by applying the most conservative limit of the tool tolerance specification most the most conservative limit of the tool tolerance specification of the tool tolerance specification the tool tolerance specification",always,"['5', '192.710', '192.713']"
610,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,ILI and in-the-ditch examination tools and procedures for crack assessments (length and depth) must have performance and evaluation standards confirmed for accuracy through confirmation tests for the defect types and pipe material vintage being evaluated.,ILI the examination tools crack,must have the - ditch for crack assessments ( length and depth crack assessments ( length and depth must performance and evaluation standards confirmed for accuracy through confirmation tests for the defect types and pipe material vintage being evaluated . for accuracy accuracy through confirmation tests for the defect types and pipe material vintage confirmation tests for the defect types and pipe material vintage for the defect types and pipe material vintage the defect types and pipe material vintage being being evaluated,always,
611,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,Inaccuracies must be accounted for in the procedures for evaluations and fracture mechanics models for predicted failure pressure determinations.,Not found,must accounted must be for in the procedures for evaluations and the procedures for evaluations and for evaluations and evaluations and mechanics models for predicted failure pressure determinations for predicted failure pressure determinations predicted failure pressure determinations,always,
612,Engineering Critical Assessment for Maximum Allowable Operating Pressure Reconfirmation: Onshore steel transmission pipelines.,(6) Anomalies detected by ILI assessments must be remediated in accordance with applicable criteria in §§ 192.713 and 192.933.,Not found,must remediated ILI assessments must be in accordance with applicable criteria in § §   192.713 and 192.933 accordance with applicable criteria in § §   192.713 and 192.933 with applicable criteria in § §   192.713 and 192.933 applicable criteria in § §   192.713 and 192.933 in § §   192.713 and 192.933 § §   192.713 and 192.933,always,"['6', '192.713 and', '192.933']"
613,Transmission lines: Assessments outside of high consequence areas.,"(2) A moderate consequence area as defined in § 192.3, if the pipeline segment can accommodate inspection by means of an instrumented inline inspection tool (",the pipeline segment,,if,"['2', '192.3']"
614,Analysis of predicted failure pressure.,"(i) When calculating crack size that would fail at MAOP, and the material toughness is not documented in traceable, verifiable, and complete records, the same Charpy v-notch toughness value established in paragraph (e)(2) of this section must be used.",Not found,"must used When When calculating crack size that would fail at MAOP crack size that would fail at MAOP would at MAOP MAOP is ( i ) When calculating crack size that would fail at MAOP , and the material toughness is not documented in traceable , verifiable , and complete records , in traceable , verifiable , and complete records , traceable , verifiable , and complete records , in paragraph ( e)(2 ) paragraph ( e)(2 ) of this section this section must be",When,['2']
615,Analysis of predicted failure pressure.,"(ii) Initial and final flaw size must be determined using a fracture mechanics model appropriate to the failure mode (ductile, brittle or both) and boundary condition used (pressure test, ILI, or other).",boundary condition,"must determined must be using a fracture mechanics model appropriate to the failure mode ( ductile , brittle or both ) a fracture mechanics model appropriate to the failure mode ( ductile , brittle or both ) to the failure mode ( ductile , brittle or both ) the failure mode ( ductile , brittle or both ) pressure test , ILI , or other",always,
616,Analysis of predicted failure pressure.,(iii) An operator must re-evaluate the remaining life of the pipeline before 50% of the remaining life calculated by this analysis has expired.,An operator,must re must the remaining life of the pipeline of the pipeline the pipeline of the remaining life calculated by this analysis the remaining life calculated by this analysis this analysis has before 50 % of the remaining life calculated by this analysis has expired,before,['50']
617,Analysis of predicted failure pressure.,The operator must determine and document if further pressure tests or use of other assessment,The operator,must determine must if further pressure tests or use of other assessment of other assessment other assessment,if,
618,Analysis of predicted failure pressure.,(iv) Other appropriate values that an operator demonstrates can provide conservative Charpy v-notch toughness values of the crack-related conditions of the pipeline segment.,Other appropriate values an operator,can provide that can conservative Charpy v - notch toughness values of the crack - related conditions of the pipeline segment of the crack - related conditions of the pipeline segment the crack - related conditions of the pipeline segment of the pipeline segment the pipeline segment,always,
619,Analysis of predicted failure pressure.,Operators using an assumed Charpy v-notch toughness value must notify PHMSA in accordance with § 192.18.,Operators an assumed Charpy v notch toughness,must notify an assumed Charpy v - notch toughness value must PHMSA in accordance with §   192.18 accordance with §   192.18 with §   192.18 §   192.18,always,['192.18']
620,Analysis of predicted failure pressure.,"(1) An operator must explicitly analyze and account for uncertainties in reported assessment results (including tool tolerance, detection threshold, probability of detection, probability of identification, sizing accuracy, conservative anomaly interaction criteria, location accuracy, anomaly findings, and unity chart plots or equivalent for determining uncertainties and verifying tool performance) in identifying and characterizing the type and dimensions of anomalies or defects used in the analyses, unless the defect dimensions have been verified using",An operator,"must analyze must explicitly for uncertainties in reported assessment results ( including tool tolerance , detection threshold , probability of detection , probability of identification uncertainties in reported assessment results ( including tool tolerance , detection threshold , probability of detection , probability of identification in reported assessment results ( including tool tolerance , detection threshold , probability of detection , probability of identification reported assessment results ( including tool tolerance , detection threshold , probability of detection , probability of identification including tool tolerance , detection threshold , probability of detection , probability of identification tool tolerance , detection threshold , probability of detection , probability of identification of detection , detection , of identification identification accuracy , conservative anomaly interaction criteria , location accuracy , anomaly findings , and unity chart plots or equivalent for determining uncertainties and verifying tool performance ) for determining uncertainties and verifying tool performance uncertainties and verifying tool performance in identifying and characterizing the type and dimensions of anomalies or defects used in the analyses the type and dimensions of anomalies or defects used in the analyses of anomalies or defects used in the analyses anomalies or defects used in the analyses in the analyses the analyses have been unless the defect dimensions have been verified using using",always,['1']
621,Analysis of predicted failure pressure.,"(2) The analyses performed in accordance with this section must utilize pipe and material properties that are documented in traceable, verifiable, and complete records.",The analyses this,"must utilize in accordance with this section accordance with this section with this section this section must pipe and material properties that are documented in traceable , verifiable , and complete records are in traceable , verifiable , and complete records traceable , verifiable , and complete records",always,['2']
622,Analysis of predicted failure pressure.,"If documented data required for any analysis is not available, an operator must obtain the undocumented data through § 192.607.",documented data any,must obtain for any analysis any analysis If documented data required for any analysis is not available available must the undocumented data through §   192.607 §   192.607,If,['192.607']
623,Analysis of predicted failure pressure.,"Until documented material properties are available, the operator shall use conservative assumptions as follows:",documented material properties,shall use Until documented material properties are available available shall conservative assumptions as follows,always,
624,Analysis of predicted failure pressure.,(E) Other appropriate values that an operator demonstrates can provide conservative Charpy v-notch toughness values of crack-related conditions of the pipeline segment.,Other appropriate values an operator,can provide that can conservative Charpy v - notch toughness values of crack - related conditions of the pipeline segment of crack - related conditions of the pipeline segment crack - related conditions of the pipeline segment of the pipeline segment the pipeline segment,always,
625,Analysis of predicted failure pressure.,Operators using an assumed Charpy v-notch toughness value must notify PHMSA in advance in accordance with § 192.18 and include in the notification the bases for demonstrating that the Charpy v-notch toughness values proposed are appropriate and conservative for use in analysis of crack-related conditions.,Operators an assumed Charpy v notch toughness,must notify an assumed Charpy v - notch toughness value must PHMSA in advance advance in accordance with §   192.18 accordance with §   192.18 with §   192.18 §   192.18 in the notification the notification the bases for demonstrating that the Charpy v - notch toughness values proposed are appropriate and conservative for use in analysis of crack - related conditions for demonstrating demonstrating appropriate and conservative for use in analysis of crack - related conditions for use in analysis of crack - related conditions use in analysis of crack - related conditions in analysis of crack - related conditions analysis of crack - related conditions of crack - related conditions crack - related conditions,always,['192.18 and']
626,Analysis of predicted failure pressure.,(14) The predicted fatigue life and predicted failure pressure from the required fatigue life models and fracture mechanics evaluation methods;,Not found,,always,['14']
627,Launcher and receiver safety.,"Any launcher or receiver used after July 1, 2021, must be equipped with a device capable of safely relieving pressure in the barrel before removal or opening of the launcher or receiver barrel closure or flange and insertion or removal of in-line inspection tools, scrapers, or spheres.",Not found,"must equipped after July 1 , 2021 July 1 , 2021 must be with a device capable of safely relieving pressure in the barrel before removal or opening of the launcher or receiver barrel closure or flange and insertion or removal of in - line inspection tools , scrapers , or spheres a device capable of safely relieving pressure in the barrel before removal or opening of the launcher or receiver barrel closure or flange and insertion or removal of in - line inspection tools , scrapers , or spheres of safely relieving pressure in the barrel before removal or opening of the launcher or receiver barrel closure or flange and insertion or removal of in - line inspection tools , scrapers , or spheres safely pressure in the barrel the barrel before removal or opening of the launcher or receiver barrel closure or flange and insertion or removal of in - line inspection tools , scrapers , or spheres removal or opening of the launcher or receiver barrel closure or flange and insertion or removal of in - line inspection tools , scrapers , or spheres of the launcher or receiver barrel the launcher or receiver barrel of in - line inspection tools , scrapers , or spheres line in - line inspection tools , scrapers , or spheres","after July 1 , 2021","['1', '2021']"
628,Launcher and receiver safety.,"An operator must use a device to either: Indicate that pressure has been relieved in the barrel; or alternatively prevent opening of the barrel closure or flange when pressurized, or insertion or removal of in-line devices (",An operator,"must Indicate must An operator must use a device to either : a device to either has been that pressure has been relieved in the barrel ; or alternatively prevent opening of the barrel closure or flange when pressurized , or insertion or removal of in - line devices in the barrel the barrel alternatively opening of the barrel closure or flange of the barrel closure or flange the barrel closure or flange when when pressurized , or insertion or removal of in - line devices of in - line devices line in - line devices",when,
629,Qualification Program.,"(i) After December 16, 2004, notify the Administrator or a state agency participating under 49 U.S.C. Chapter 601 if an operator significantly modifies the program after the administrator or state agency has verified that it complies",i,"notify After December 16 , 2004 , December 16 , 2004 , the Administrator or a state agency participating under 49 U.S.C. Chapter 601 under 49 U.S.C. Chapter 601 49 U.S.C. Chapter 601 significantly if an operator significantly modifies the program after the administrator or state agency has verified that it complies the program has after the administrator or state agency has verified that it complies that it complies","After December 16 , 2004 ,","['16', '2004', '49 U', '601 if']"
630,How is the baseline assessment to be conducted?,"An operator must use the test pressures specified in Table 3 of section 5 of ASME/ANSI B31.8S (incorporated by reference,",An operator,must use must the test pressures specified in Table 3 of section 5 of ASME / ANSI B31.8S ( incorporated by reference in Table 3 of section 5 of ASME / ANSI B31.8S ( incorporated by reference Table 3 of section 5 of ASME / ANSI B31.8S ( incorporated by reference of section 5 of ASME / ANSI B31.8S ( incorporated by reference section 5 of ASME / ANSI B31.8S ( incorporated by reference of ASME / ANSI B31.8S ( incorporated by reference ASME / ANSI B31.8S ( incorporated by reference reference,always,"['3 of', '5 of', '31.8S']"
